iso3,country,region,disease_exposure,economic_sensitivity,legal_preparedness,domestic_legal_readiness,trade_continuity_preparedness,legal_indicators_available,legal_indicators_total,legal_vulnerability,tvi,data_availability,tvi_class,disease_class,economic_class,legal_class,contrib_disease,contrib_economic,contrib_legal
BFA,Burkina Faso,Africa,,50.6,,,,0,5,,50.6,E,Moderate,N/A,Moderate,N/A,,16.866666666666667,
BHR,Bahrain,Middle East,,50.0,,,,0,5,,50.0,E,Moderate,N/A,Moderate,N/A,,16.666666666666664,
URY,Uruguay,Americas,,49.9,,,,0,5,,49.9,E,Moderate,N/A,Moderate,N/A,,16.633333333333333,
YEM,Yemen,Middle East,,49.9,,,,0,5,,49.9,E,Moderate,N/A,Moderate,N/A,,16.633333333333333,
UGA,Uganda,Africa,,49.8,,,,0,5,,49.8,E,Moderate,N/A,Moderate,N/A,,16.599999999999998,
KHM,Cambodia,Asia and the Pacific,,49.7,,,,0,5,,49.7,E,Moderate,N/A,Moderate,N/A,,16.566666666666666,
MNE,Montenegro,Europe,,49.6,,,,0,5,,49.6,E,Moderate,N/A,Moderate,N/A,,16.53333333333333,
CIV,Côte d'Ivoire,Africa,,49.4,,,,0,5,,49.4,E,Moderate,N/A,Moderate,N/A,,16.466666666666665,
CUB,Cuba,Americas,,49.4,,,,0,5,,49.4,E,Moderate,N/A,Moderate,N/A,,16.466666666666665,
PRK,Dem. People's Rep. of Korea,Asia and the Pacific,,49.3,,,,0,5,,49.3,E,Moderate,N/A,Moderate,N/A,,16.43333333333333,
AGO,Angola,Africa,,49.2,,,,0,5,,49.2,E,Moderate,N/A,Moderate,N/A,,16.4,
BRN,Brunei,Asia and the Pacific,,48.9,,,,0,5,,48.9,E,Moderate,N/A,Moderate,N/A,,16.299999999999997,
PER,Peru,Americas,,48.7,,,,0,5,,48.7,E,Moderate,N/A,Moderate,N/A,,16.233333333333334,
ZMB,Zambia,Africa,,53.3,56.2,62.5,50.0,5,5,43.8,48.6,E/L,Moderate,N/A,Moderate,Moderate,,17.766666666666666,14.599999999999998
GNQ,Equatorial Guinea,Africa,,48.2,,,,0,5,,48.2,E,Moderate,N/A,Moderate,N/A,,16.066666666666666,
MMR,Myanmar,Asia and the Pacific,,48.0,,,,0,5,,48.0,E,Moderate,N/A,Moderate,N/A,,16.0,
ARE,United Arab Emirates,Middle East,,39.8,43.8,50.0,37.5,4,5,56.2,48.0,E/L,Moderate,N/A,Low,Moderate,,13.266666666666666,18.733333333333334
NZL,New Zealand,Asia and the Pacific,,48.0,,,,0,5,,48.0,E,Moderate,N/A,Moderate,N/A,,16.0,
FIN,Finland,Europe,,47.8,,,,0,5,,47.8,E,Moderate,N/A,Moderate,N/A,,15.933333333333332,
MNG,Mongolia,Asia and the Pacific,,47.7,,,,0,5,,47.7,E,Moderate,N/A,Moderate,N/A,,15.9,
KEN,Kenya,Africa,,47.6,,,,0,5,,47.6,E,Moderate,N/A,Moderate,N/A,,15.866666666666667,
HTI,Haiti,Americas,,47.2,,,,0,5,,47.2,E,Moderate,N/A,Moderate,N/A,,15.733333333333334,
MYS,Malaysia,Asia and the Pacific,,46.9,,,,0,5,,46.9,E,Moderate,N/A,Moderate,N/A,,15.633333333333333,
HRV,Croatia,Europe,,46.8,,,,0,5,,46.8,E,Moderate,N/A,Moderate,N/A,,15.599999999999998,
HND,Honduras,Americas,,46.5,,,,0,5,,46.5,E,Moderate,N/A,Moderate,N/A,,15.5,
THA,Thailand,Asia and the Pacific,,46.5,,,,0,5,,46.5,E,Moderate,N/A,Moderate,N/A,,15.5,
LBY,Libya,Africa,42.9,49.8,,,,0,5,,46.3,D/E,Moderate,Moderate,Moderate,N/A,14.299999999999999,16.599999999999998,
SVN,Slovenia,Europe,,46.3,,,,0,5,,46.3,E,Moderate,N/A,Moderate,N/A,,15.433333333333332,
BEN,Benin,Africa,,46.2,,,,0,5,,46.2,E,Moderate,N/A,Moderate,N/A,,15.4,
MUS,Mauritius,Africa,,46.2,,,,0,5,,46.2,E,Moderate,N/A,Moderate,N/A,,15.4,
KNA,Saint Kitts and Nevis,Americas,,45.5,,,,0,5,,45.5,E,Moderate,N/A,Moderate,N/A,,15.166666666666666,
GRD,Grenada,Americas,,45.5,,,,0,5,,45.5,E,Moderate,N/A,Moderate,N/A,,15.166666666666666,
COD,Democratic Republic of the Congo,Africa,,45.4,,,,0,5,,45.4,E,Moderate,N/A,Moderate,N/A,,15.133333333333333,
BGR,Bulgaria,Europe,,45.3,,,,0,5,,45.3,E,Moderate,N/A,Moderate,N/A,,15.099999999999998,
ALB,Albania,Europe,,45.3,,,,0,5,,45.3,E,Moderate,N/A,Moderate,N/A,,15.099999999999998,
DEU,Germany,Europe,,45.1,,,,0,5,,45.1,E,Moderate,N/A,Moderate,N/A,,15.033333333333333,
BTN,Bhutan,Asia and the Pacific,,45.0,,,,0,5,,45.0,E,Moderate,N/A,Moderate,N/A,,15.0,
UZB,Uzbekistan,Asia and the Pacific,,44.7,,,,0,5,,44.7,E,Moderate,N/A,Moderate,N/A,,14.9,
MEX,Mexico,Americas,,44.6,,,,0,5,,44.6,E,Moderate,N/A,Moderate,N/A,,14.866666666666667,
LBR,Liberia,Africa,,44.6,,,,0,5,,44.6,E,Moderate,N/A,Moderate,N/A,,14.866666666666667,
IDN,Indonesia,Asia and the Pacific,,44.5,,,,0,5,,44.5,E,Moderate,N/A,Moderate,N/A,,14.833333333333332,
LCA,Saint Lucia,Americas,,44.3,,,,0,5,,44.3,E,Moderate,N/A,Moderate,N/A,,14.766666666666666,
BLR,Belarus,Europe,,46.5,58.3,,58.3,3,5,41.7,44.1,E/L,Moderate,N/A,Moderate,Moderate,,15.5,13.9
BGD,Bangladesh,Asia and the Pacific,,44.0,,,,0,5,,44.0,E,Moderate,N/A,Moderate,N/A,,14.666666666666666,
BWA,Botswana,Africa,,58.0,70.8,75.0,66.7,4,5,29.2,43.6,E/L,Moderate,N/A,Moderate,Strong,,19.333333333333332,9.733333333333333
ITA,Italy,Europe,,43.3,,,,0,5,,43.3,E,Moderate,N/A,Moderate,N/A,,14.433333333333332,
HUN,Hungary,Europe,,43.2,,,,0,5,,43.2,E,Moderate,N/A,Moderate,N/A,,14.4,
ECU,Ecuador,Americas,,43.2,,,,0,5,,43.2,E,Moderate,N/A,Moderate,N/A,,14.4,
PHL,Philippines,Asia and the Pacific,,43.1,,,,0,5,,43.1,E,Moderate,N/A,Moderate,N/A,,14.366666666666667,
CZE,Czechia,Europe,,43.0,,,,0,5,,43.0,E,Moderate,N/A,Moderate,N/A,,14.333333333333332,
ZWE,Zimbabwe,Africa,,42.9,,,,0,5,,42.9,E,Moderate,N/A,Moderate,N/A,,14.299999999999999,
DNK,Denmark,Europe,,42.6,,,,0,5,,42.6,E,Moderate,N/A,Moderate,N/A,,14.2,
ARG,Argentina,Americas,,42.5,,,,0,5,,42.5,E,Moderate,N/A,Moderate,N/A,,14.166666666666666,
GTM,Guatemala,Americas,,42.3,,,,0,5,,42.3,E,Moderate,N/A,Moderate,N/A,,14.099999999999998,
MKD,North Macedonia,Europe,,42.3,,,,0,5,,42.3,E,Moderate,N/A,Moderate,N/A,,14.099999999999998,
SMR,San Marino,Europe,,42.2,,,,0,5,,42.2,E,Moderate,N/A,Moderate,N/A,,14.066666666666666,
