country,iso3,assessment_year,pvs_assessment_version,indicator,indicator_code,indicator_name,score,score_scale,source,source_url,data_availability,missing_data_flag
Benin,BEN,2013,Public PVS report (edition varies),IV-4,IV-4,IV-4,,1-5,Public PVSIS report (parse incomplete): RAPPORT DE LA MISSION DE SUIVI DE L’ÉVALUATION PVS DES SERVICES VÉTÉRINAIRES DU BENIN,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/38,unavailable,True
Benin,BEN,2013,Public PVS report (edition varies),IV-6,IV-6,IV-6,,1-5,Public PVSIS report (parse incomplete): RAPPORT DE LA MISSION DE SUIVI DE L’ÉVALUATION PVS DES SERVICES VÉTÉRINAIRES DU BENIN,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/38,unavailable,True
Benin,BEN,2013,Public PVS report (edition varies),IV-7,IV-7,IV-7,,1-5,Public PVSIS report (parse incomplete): RAPPORT DE LA MISSION DE SUIVI DE L’ÉVALUATION PVS DES SERVICES VÉTÉRINAIRES DU BENIN,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/38,unavailable,True
Belarus,BLR,2015,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,,1-5,Public PVSIS report (parse incomplete): PVS Evaluation mission report,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/140,unavailable,True
Belarus,BLR,2015,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,,1-5,Public PVSIS report (parse incomplete): PVS Evaluation mission report,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/140,unavailable,True
Belarus,BLR,2015,Public PVS report (edition varies),IV-4,IV-4,IV-4,4.0,1-5,Public PVSIS report: PVS Evaluation mission report,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/140,public_report,False
Belarus,BLR,2015,Public PVS report (edition varies),IV-6,IV-6,IV-6,3.0,1-5,Public PVSIS report: PVS Evaluation mission report,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/140,public_report,False
Belarus,BLR,2015,Public PVS report (edition varies),IV-7,IV-7,IV-7,3.0,1-5,Public PVSIS report: PVS Evaluation mission report,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/140,public_report,False
Belize,BLZ,2014,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,,1-5,Public PVSIS report (parse incomplete): OIE PVS Evaluation mission,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/113,unavailable,True
Belize,BLZ,2014,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,,1-5,Public PVSIS report (parse incomplete): OIE PVS Evaluation mission,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/113,unavailable,True
Belize,BLZ,2014,Public PVS report (edition varies),IV-4,IV-4,IV-4,3.0,1-5,Public PVSIS report: OIE PVS Evaluation mission,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/113,public_report,False
Belize,BLZ,2014,Public PVS report (edition varies),IV-6,IV-6,IV-6,2.0,1-5,Public PVSIS report: OIE PVS Evaluation mission,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/113,public_report,False
Belize,BLZ,2014,Public PVS report (edition varies),IV-7,IV-7,IV-7,2.0,1-5,Public PVSIS report: OIE PVS Evaluation mission,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/113,public_report,False
Bolivia,BOL,2014,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,,1-5,Public PVSIS report (parse incomplete): Misión de Evaluación PVS de Seguimiento,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/40,unavailable,True
Bolivia,BOL,2014,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,,1-5,Public PVSIS report (parse incomplete): Misión de Evaluación PVS de Seguimiento,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/40,unavailable,True
Bolivia,BOL,2014,Public PVS report (edition varies),IV-4,IV-4,IV-4,,1-5,Public PVSIS report (parse incomplete): Misión de Evaluación PVS de Seguimiento,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/40,unavailable,True
Bolivia,BOL,2014,Public PVS report (edition varies),IV-6,IV-6,IV-6,,1-5,Public PVSIS report (parse incomplete): Misión de Evaluación PVS de Seguimiento,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/40,unavailable,True
Bolivia,BOL,2014,Public PVS report (edition varies),IV-7,IV-7,IV-7,,1-5,Public PVSIS report (parse incomplete): Misión de Evaluación PVS de Seguimiento,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/40,unavailable,True
Brazil,BRA,2015,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,,1-5,"Public PVSIS report (parse incomplete): Self Assessment Annual Report, 2025",https://pvs.woah.org/pvs-is-be/api/document-management/download-public/755,unavailable,True
Brazil,BRA,2015,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,,1-5,"Public PVSIS report (parse incomplete): Self Assessment Annual Report, 2025",https://pvs.woah.org/pvs-is-be/api/document-management/download-public/755,unavailable,True
Brazil,BRA,2015,Public PVS report (edition varies),IV-4,IV-4,IV-4,,1-5,"Public PVSIS report (parse incomplete): Self Assessment Annual Report, 2025",https://pvs.woah.org/pvs-is-be/api/document-management/download-public/755,unavailable,True
Brazil,BRA,2015,Public PVS report (edition varies),IV-6,IV-6,IV-6,,1-5,"Public PVSIS report (parse incomplete): Self Assessment Annual Report, 2025",https://pvs.woah.org/pvs-is-be/api/document-management/download-public/755,unavailable,True
Brazil,BRA,2015,Public PVS report (edition varies),IV-7,IV-7,IV-7,,1-5,"Public PVSIS report (parse incomplete): Self Assessment Annual Report, 2025",https://pvs.woah.org/pvs-is-be/api/document-management/download-public/755,unavailable,True
Botswana,BWA,2019,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,4.0,1-5,Public PVSIS report: OIE PVS EVALUATION FOLLOW-UP MISSION REPORT OF THE VETERINARY SERVICES OF BOTSWANA,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/12,public_report,False
Botswana,BWA,2019,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,,1-5,Public PVSIS report (parse incomplete): OIE PVS EVALUATION FOLLOW-UP MISSION REPORT OF THE VETERINARY SERVICES OF BOTSWANA,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/12,unavailable,True
Botswana,BWA,2019,Public PVS report (edition varies),IV-4,IV-4,IV-4,4.0,1-5,Public PVSIS report: OIE PVS EVALUATION FOLLOW-UP MISSION REPORT OF THE VETERINARY SERVICES OF BOTSWANA,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/12,public_report,False
Botswana,BWA,2019,Public PVS report (edition varies),IV-6,IV-6,IV-6,5.0,1-5,Public PVSIS report: OIE PVS EVALUATION FOLLOW-UP MISSION REPORT OF THE VETERINARY SERVICES OF BOTSWANA,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/12,public_report,False
Botswana,BWA,2019,Public PVS report (edition varies),IV-7,IV-7,IV-7,2.0,1-5,Public PVSIS report: OIE PVS EVALUATION FOLLOW-UP MISSION REPORT OF THE VETERINARY SERVICES OF BOTSWANA,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/12,public_report,False
Chile,CHL,2024,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,,1-5,"Public PVSIS report (parse incomplete): Self Assessment Annual Report, 2025",https://pvs.woah.org/pvs-is-be/api/document-management/download-public/777,unavailable,True
Chile,CHL,2024,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,,1-5,"Public PVSIS report (parse incomplete): Self Assessment Annual Report, 2025",https://pvs.woah.org/pvs-is-be/api/document-management/download-public/777,unavailable,True
Chile,CHL,2024,Public PVS report (edition varies),IV-4,IV-4,IV-4,,1-5,"Public PVSIS report (parse incomplete): Self Assessment Annual Report, 2025",https://pvs.woah.org/pvs-is-be/api/document-management/download-public/777,unavailable,True
Chile,CHL,2024,Public PVS report (edition varies),IV-6,IV-6,IV-6,,1-5,"Public PVSIS report (parse incomplete): Self Assessment Annual Report, 2025",https://pvs.woah.org/pvs-is-be/api/document-management/download-public/777,unavailable,True
Chile,CHL,2024,Public PVS report (edition varies),IV-7,IV-7,IV-7,,1-5,"Public PVSIS report (parse incomplete): Self Assessment Annual Report, 2025",https://pvs.woah.org/pvs-is-be/api/document-management/download-public/777,unavailable,True
Côte d'Ivoire,CIV,2016,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,,1-5,Public PVSIS report (parse incomplete): Rapport d’Evaluation PVS: Aquatique,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/58,unavailable,True
Côte d'Ivoire,CIV,2016,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,,1-5,Public PVSIS report (parse incomplete): Rapport d’Evaluation PVS: Aquatique,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/58,unavailable,True
Côte d'Ivoire,CIV,2016,Public PVS report (edition varies),IV-4,IV-4,IV-4,,1-5,Public PVSIS report (parse incomplete): Rapport d’Evaluation PVS: Aquatique,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/58,unavailable,True
Côte d'Ivoire,CIV,2016,Public PVS report (edition varies),IV-6,IV-6,IV-6,,1-5,Public PVSIS report (parse incomplete): Rapport d’Evaluation PVS: Aquatique,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/58,unavailable,True
Côte d'Ivoire,CIV,2016,Public PVS report (edition varies),IV-7,IV-7,IV-7,,1-5,Public PVSIS report (parse incomplete): Rapport d’Evaluation PVS: Aquatique,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/58,unavailable,True
